id,area,feature,files,user_story,expected_behaviour,status,test_method,test_result,issues,severity,fix_status,notes
AUTH-01,Auth,Login / Sign-up,app/(auth)/login.tsx,"As a user I can log in or create an account with email + password, with live form validation.",Segmented Log in/Sign up toggle. Live email regex; sign-up needs 8+ chars + uppercase + special + match (checklist); login accepts 6+. Submit disabled until valid; shows 'Please wait...' while submitting; auth failure -> error toast; success -> AppGate routes.,Tested,code-trace,PASS,,,,Login min-length (6) differs from sign-up (8) by design.
AUTH-02,Auth,Forgot password,app/(auth)/forgot-password.tsx,As a user who forgot my password I can request a reset link without leaking whether the account exists.,"Email validated; submit disabled while loading (spinner). Success -> 'Check your email' confirmation (same copy regardless of account existence), button becomes RESEND LINK. Error -> generic toast.",Tested,code-trace,PASS,,,,
AUTH-03,Auth,Reset password,app/(auth)/reset-password.tsx,As a user with a reset link I can set a new password and be routed correctly.,Handles PKCE (?code) and token-hash (?token_hash+type=recovery) flows; 'Verifying...' spinner; invalid link -> toast + reroute to forgot-password. New password 8+ and match; success routes to tabs or onboarding by hasCompletedOnboarding.,Tested,code-trace,PASS,,,,
AUTH-04,Auth,Social sign-in (Google/Apple),"app/(auth)/login.tsx, components/auth/GoogleGLogo.tsx",As a user I can sign in with Google (and Apple on iOS).,Google + Apple buttons below divider; Apple iOS-only; official Google G SVG scaled by moderateScale. Failure -> toast.,Tested,code-trace,PASS,,,,Memory: lazy Google sign-in.
AUTH-05,Infra,Auth session store,stores/useAuthStore.ts,As the app I track the Supabase session/user and provide sign-out.,setSession updates session+user; setLoading gates routing; signOut clears session + resets lessons cache but preserves device prefs; cross-account leak prevented by resetForUser on user switch.,Tested,code-trace,PASS,,,,
ONB-01,Onboarding,Welcome screen,app/onboarding/welcome.tsx,As a new user I see why to learn Kannada and start onboarding.,Brand gradient + glyph watermark; 3 motivation cards; bottom sheet with progress dots (0/5) + 'Get Started' -> /onboarding/name.,Tested,code-trace,PASS w/ defect,ISS-05,Med,Open,
ONB-02,Onboarding,Name entry,app/onboarding/name.tsx,As a user I enter my name and the app stores it and sets spoken mode.,"Step 1 of 4; input trimmed, 1-30 chars; Continue disabled until valid; seeded from store on back-nav; setDisplayName + setLearningMode('spoken') -> /motivation.",Tested,code-trace,PASS w/ defect,ISS-05,Med,Open,
ONB-03,Onboarding,Motivation select,"app/onboarding/motivation.tsx, components/onboarding/OptionCard.tsx",As a user I pick up to 3 motivations or write my own.,Step 2 of 4; 8 preset cards toggle (max 3); 'Other' expands a 60-char input counting as 1; Continue disabled until >=1; seeded on back-nav.,Tested,code-trace,PASS w/ defect,ISS-05,Med,Open,
ONB-04,Onboarding,Daily commitment,app/onboarding/commitment.tsx,As a user I set my daily goal (5/10/20 min) with an info explainer.,Step 3 of 4; 3 cards; info icon -> LearningTimeInfoDialog; Continue disabled until selected; seeded on back-nav.,Tested,code-trace,PASS w/ defect,ISS-05,Med,Open,
ONB-05,Onboarding,Basics guide + finish,app/onboarding/basics.tsx,"As a user I view the basics guide and finish onboarding, progressing even if server sync fails.",Renders GuideFlow; Continue -> finishOnboarding(); validates fields (reroutes if missing); completeOnboarding API -> hydrate + route to tabs; on error queue pendingOnboardingSync and still route to tabs.,Tested,code-trace,PASS w/ defect,ISS-05,Med,Open,
ONB-06,Onboarding,Onboarding stack layout,app/onboarding/_layout.tsx,As the router I present onboarding as a slide stack with no header.,"Stack with slide_from_right, headerShown false.",Tested,code-trace,PASS,,,,
NAV-01,Navigation,Floating tab bar,"app/(tabs)/_layout.tsx, components/ui/TabBar.tsx","As a user I switch between Home, Learn, Practice, Profile via a floating pill.",Floating pill above safe area; active tab = red circle; inactive = grey icon; content padded by TAB_BAR_CLEARANCE+inset; tapping active is no-op; a11y selected state.,Tested,code-trace,PASS,,,,
NAV-02,Navigation,Top bar,components/ui/TopBar.tsx,As a user I see the wordmark and my streak at the top of tab screens.,English+Kannada wordmark left; StreakPill right; hairline border; safe-area insets.,Tested,code-trace,PASS,,,,
NAV-03,Navigation,Streak pill,components/ui/StreakPill.tsx,As a user I tap my streak to open streak details.,"Gold pill, flame + count; tap wiggles flame ~270ms then onPress; a11y 'Current streak: X days'.",Tested,code-trace,PASS,,,,
NAV-04,Navigation,Progress rings,components/ui/ProgressRing.tsx,As a user I see animated single/triple progress rings for my goals.,Single ring animates sweep on mount; MultiProgressRing nests Listen(red)/Speak(gold)/Practice(blue) each with own track + animated head cap.,Tested,code-trace,PASS,,,,
HOME-01,Home,Home dashboard,app/(tabs)/index.tsx,As a user I land on a dashboard greeting me by name with my day's progress.,"Greeting 'Namaskara, {firstName}'; loading -> HomeSkeleton; error -> ErrorState/OfflineState; renders rings, continue, words, emergency cards.",Tested,code-trace,PASS,,,,
HOME-02,Home,Daily goal rings,"app/(tabs)/index.tsx, hooks/games",As a user I see Listen/Speak/Practice progress toward today's targets.,"3 concentric rings show X/target per channel; data from real per-day activity, resets at date rollover.",Tested,code-trace,PASS,,,,
HOME-03,Home,Continue card,app/(tabs)/index.tsx,As a user I can resume my next lesson from home.,Shows next lesson (skips empty-content lessons) -> /lesson/{slug}; if all done shows 'All caught up'.,Tested,code-trace,PASS,,,,
HOME-04,Home,Words learned card,"app/(tabs)/index.tsx, components/modals/instances/WordsLearnedSheet.tsx",As a user I see how many words I've learned this week and can list them.,Gold banner: count + % of weekly target + red progress bar; 'See all' -> WordsLearnedSheet grouped by lesson with audio.,Tested,code-trace,PASS,,,,
HOME-05,Home,Emergency shortcut + basics nudge,app/(tabs)/index.tsx,As a user I can jump to offline survival phrases and get a one-time nudge to the basics guide.,'Stuck right now?' card -> /emergency (offline). One-time nudge toast when userHydrated + hasSeenBasicsGuide + !hasSeenBasicsHomeNudge.,Tested,code-trace,PASS,,,,
LEARN-01,Learn,Lesson grid,app/(tabs)/learn.tsx,As a user I see all lessons in order with done/active/locked states.,Loading -> LearnSkeleton; error -> ErrorState/OfflineState. Done=grey+check (replayable); Active=red+play (+part progress bar if multi-part); Locked=dim+lock tile.,Tested,code-trace,PASS,,,,
LEARN-02,Learn,Basics promo card,app/(tabs)/learn.tsx,As a user I can open the Kannada basics primer from Learn.,Basics card opens guide/info; tied to hasSeenBasicsGuide nudge.,Tested,code-trace,PASS,,,,
LEARN-03,Learn,Lesson info / locked dialogs,"app/(tabs)/learn.tsx, components/modals/instances/LessonInfoDialog.tsx, LessonLockedDialog.tsx",As a user I can tap a lesson to see its info or why it's locked.,"Active/Done -> LessonInfoDialog (number, title, desc, phrase count, minutes); Locked -> LessonLockedDialog with 'Go to previous'.",Tested,code-trace,PASS,,,,
PRAC-01,Practice,Games grid + unlock,app/(tabs)/practice.tsx,As a user I see games that unlock as I complete lessons.,"Featured Quick Quiz (tall gold); grid Dictation+Conversations; wide Opposites. Each locked until enough learned -> faded + lock badge, no play orb; unlocked -> play orb.",Tested,code-trace,PASS,,,,
PRAC-02,Practice,Games-locked empty,"app/(tabs)/practice.tsx, components/states/empties/TabEmpties.tsx",As a new user with no progress I see a prompt to start learning.,"GamesLockedEmpty: orange well, 'Games unlock as you learn', 'Start Lesson 1' button.",Tested,code-trace,PASS,,,,
PROF-01,Profile,Profile overview,app/(tabs)/profile.tsx,"As a user I see my name, join date, overall progress and stat cards.",Loading -> ProfileSkeleton; empty (no progress) -> NoStreakEmpty. Overall % gold banner + bar; stat cards lessons-done + words-learned; version footer.,Tested,code-trace,PASS,,,,
PROF-02,Profile,Goal summary,"app/(tabs)/profile.tsx, components/modals/instances/GoalSummarySheet.tsx",As a user I can view my learning goal details.,"Goal card subtitle '{min}/day - {n} reasons'; tap -> GoalSummarySheet with mode, target, motivations.",Tested,code-trace,PASS,,,,
PROF-03,Profile,Settings links + sign out,"app/(tabs)/profile.tsx, components/modals/instances/SignOutDialog.tsx, RemindersSheet.tsx",As a user I can reach reminders/audio/help and sign out.,Rows: Reminders -> RemindersSheet; Audio -> /settings/audio; Help -> /settings/help. Sign out -> SignOutDialog -> signOut + 'Signed out' toast.,Tested,code-trace,PASS,,,,
SET-01,Settings,Audio & pronunciation,app/settings/audio.tsx,"As a user I can set TTS speed, toggle auto-replay, and open device voice settings.","Speed buttons (0.75/1.0/1.25/1.5x), 'Try it' plays sample (fail -> toast); auto-replay toggle persists via API (revert+toast on fail); 'Open device TTS settings' -> Linking.openSettings.",Tested,code-trace,PASS,ISS-15,Low,ISS-15 Done,
SET-02,Settings,Help & feedback hub,app/settings/help.tsx,As a user I can reach feedback and (if configured) contact/report.,Send feedback -> /settings/feedback. Contact/Report rows hidden when SUPPORT_EMAIL null.,Tested,code-trace,PASS,,,,SUPPORT_EMAIL intentionally null until owner fills.
SET-03,Settings,Feedback form,"app/settings/feedback.tsx, services/api/feedback.ts",As a user I can submit feedback (<=1000 chars).,Multiline input + char counter; Send disabled until trimmed>0; submit -> 'Please wait...'; success toast + route back; error -> toast + re-enable.,Tested,code-trace,PASS,,,,
LES-01,Lesson,Lesson runner / flow,"app/lesson/[id].tsx, hooks/useLessonRunner.ts",As a learner I move through a lesson's phases at my own pace.,Loading spinner (back chip stays); error card w/ retry+help; not-found fallback. Flow: situation -> per section [teach words -> practice words -> teach phrases -> practice phrases] -> summary -> real world -> done. Back steps one phase; clamped; done terminal. Split lesson w/o part -> part chooser.,Tested,code-trace;jest,PASS,ISS-07,Med,ISS-07 Done,
LES-02,Lesson,Situation intro phase,components/lesson/SituationPhase.tsx,As a learner I read the lesson context and register note before starting.,Gold context card + title + description; optional registerNote box; 'Let''s start' -> teach_words.,Tested,code-trace,PASS,,,,
LES-03,Lesson,Teach words phase,components/lesson/TeachWordsPhase.tsx,As a learner I hear and read each word before practising.,Auto-play if autoReplay; transliteration/gloss/optional tag/faint Kannada; AudioOrb replay (records listen); audio fail -> toast w/ retry; progress 'Word N of M'; last word CTA changes.,Tested,code-trace,PASS,,,,
LES-04,Lesson,Practice words - listen,components/lesson/PracticeWordsPhase.tsx,As a learner I hear a word and pick its meaning from 3 options.,"Auto-play; AudioOrb+SpeedControl; 3 shuffled options (2 distinct distractors); correct bounces gold+check, wrong shakes red+'Try again', reveals translit/script; pick locks; Next enabled after pick.",Tested,code-trace,PASS w/ defect,ISS-14,Low,Open,
LES-05,Lesson,Practice words - say,components/lesson/PracticeWordsPhase.tsx,As a learner I see the word and confirm I said it aloud.,Shows translit/gloss/Kannada + gold AudioOrb; 'I said it' records speak metric + advances; honor system (no recognition).,Tested,code-trace,PASS,,,,
LES-06,Lesson,Teach phrases + word chips,components/lesson/TeachPhrasesPhase.tsx,As a learner I hear a phrase and tap individual words to hear them.,Translit split into tappable chips matched to vocab (normalize strips punct/case); chip tap highlights 600ms + plays; full-phrase AudioOrb; auto-play if autoReplay; records listen; unmatched chip disabled.,Tested,code-trace,PASS w/ defect,ISS-09;ISS-18,Low,Partial: ISS-18 Done; ISS-09 Open (needs content check),
LES-07,Lesson,Practice phrases - listen,components/lesson/PracticePhrasesPhase.tsx,As a learner I hear a phrase and pick its meaning.,Same as LES-04 for phrases; reveals translit+Kannada after correct; up to 2 distractors.,Tested,code-trace,PASS w/ defect,ISS-14,Low,Open,
LES-08,Lesson,Practice phrases - say,components/lesson/PracticePhrasesPhase.tsx,As a learner I confirm I said the phrase aloud.,English box + translit/Kannada card + AudioOrb; 'I said it' records speak metric.,Tested,code-trace,PASS,,,,
LES-09,Lesson,Summary phase,components/lesson/SummaryPhase.tsx,As a learner I review all words/phrases I just learned.,Words + Phrases sections; each row translit/Kannada/English + AudioOrb; respects part boundaries.,Tested,code-trace,PASS,,,,
LES-10,Lesson,Real-world phase,components/lesson/RealWorldPhase.tsx,As a learner I get a real-world challenge prompt before finishing.,Gold prompt card; 'I''ll try this' + 'Skip for now' both advance to done.,Tested,code-trace,FAIL,ISS-06,Med,Open,Both CTAs do the same thing.
LES-11,Lesson,Done card + completion save,"components/lesson/DoneCard.tsx, hooks/useCompleteLessonMutation.ts",As a learner I see my progress and continue to next lesson or games.,"Trail viz (prev/current/next or trophy); completion mutation fires on mount; nav CTAs wait for save, retry on fail; LessonNotRegisteredError -> toast; 'Practice games' + 'Home'.",Tested,code-trace,PASS w/ defect,ISS-19,Low,Open,
LES-12,Lesson,Part done card,components/lesson/PartDoneCard.tsx,As a learner I see a sub-part is done and what's next.,"Gold check, '{part} done!', 'Up next', 'Continue to {next}' + 'Back to parts'; no server save here.",Tested,code-trace,PASS,,,,
LES-13,Lesson,Lesson part chooser,"components/lesson/LessonPartChooser.tsx, hooks/useLessonParts.ts",As a learner I pick an unlocked part of a split lesson.,Title + 'N of M parts done' + optional situation; rows done/active/locked; tap unlocked -> /lesson/{slug}?part={key}; locked disabled.,Tested,code-trace;jest,PASS,,,,
LES-14,Lesson,Lesson selector (games),components/lesson/LessonSelector.tsx,As a learner I pick an unlocked lesson to play a game with.,"Header back+title; staggered pills; unlocked gold w/ glyph+chevron, locked flat w/ lock tile; footer hint; tap unlocked -> game runner.",Tested,code-trace,PASS,,,,
LES-15,Lesson,Lesson progress bar,components/lesson/LessonProgressBar.tsx,As a learner I see how far through the lesson I am.,Label 'Word N of M - LISTEN/SAY' + filled gold bar; clamps 0-1; total=0 -> 0%.,Tested,code-trace,PASS,ISS-22,Trivial,Wontfix: already correct (ISS-22),
LES-16,Lesson,Answer option feedback,components/lesson/AnswerOption.tsx,As a learner I get animated right/wrong feedback on options.,White chunky card; correct -> gold bg+border+check+bounce spring; wrong -> pale red+red border+shake; disabled after reveal.,Tested,code-trace,PASS,,,,
LES-17,Lesson,Feedback tag,components/lesson/FeedbackTag.tsx,As a learner I see a 'Correct'/'Try again' tag.,Correct = green icon + 'Correct'; wrong = red icon + 'Try again'.,Tested,code-trace,PASS,,,,
LES-18,Lesson,Speed control,"components/lesson/SpeedControl.tsx, hooks/useTtsRate.ts",As a learner I cycle audio speed during a lesson and it persists.,Gold pill labelled Slow/Normal/Fast/Very fast; tap cycles + calls onRateChange; persists to userStore.ttsRate.,Tested,code-trace,PASS,,,,
LES-19,Lesson,Phase back button,components/lesson/PhaseBackButton.tsx,As a learner I step back one phase (distinct from exiting).,Floating chunky circle right of ExitBackButton; calls goPrevious; not rendered when canGoPrevious false; hitSlop 12.,Tested,code-trace,PASS,,,,
GAME-01,Game,Games auth guard,app/(games)/_layout.tsx,As a logged-out user I'm redirected to login before any game.,Waits while authLoading (renders null); no session -> Redirect to login; else Stack no header.,Tested,code-trace,PASS,,,,
GAME-02,Game,Game lesson selector route,app/(games)/[game]/index.tsx,As a learner I pick a lesson for a chosen game.,Invalid game -> 'Game not found' + Back to Practice; valid -> LessonSelector; pick -> /{game}/{n}; back -> /practice.,Tested,code-trace,PASS,,,,
GAME-03,Game,Game runner route,app/(games)/[game]/[n].tsx,As a learner I play a specific game on a specific lesson.,Validates game key + lesson 1-8 + optional part; image-match treated as not-found; switch -> Opposite/Dictation/QuickQuiz/Conversation; else 'Game not found'.,Tested,code-trace,PASS,ISS-16,Low,ISS-16 Done,image-match dropped from DB.
GAME-04,Game,Game part chooser,components/games/GamePartChooser.tsx,As a learner I pick an unlocked part of a split game lesson.,Title + 'N of M parts done'; rows done(gold)/active(blue+play)/locked(disabled+lock); tap unlocked -> ?part={key}; ExitBackButton.,Tested,code-trace,PASS,,,,
GAME-05,Game,Game play + scoring,"src/games/opposites/, src/games/dictation/, src/games/quickquiz/, src/games/conversations/","As a learner I play a game, get per-question feedback, and see my final score.",Loading/error/empty states; ProgressBar + score + streak; option grid w/ correct/wrong feedback + haptics; result screen w/ Replay + back; completeGamePart on result; recordAttempt fire-and-forget.,Tested,code-trace;jest,PASS,,,,
GAME-06,Game,Game registry,constants/games.ts,As the app I define the available games and validate game keys.,GAMES list (quiz/dictation/conversations/opposites/image-match) + isGameKey validator.,Tested,code-trace,PASS,,,,image-match dead but still listed.
GUIDE-01,Guide,Guide flow,"components/guide/GuideFlow.tsx, services/api/guide.ts",As a new learner I step through a 3-step Kannada basics guide.,Fetch guide from DB (fallback constants/guide.ts) on mount; GuideLoading while fetching; 3 steps Things/Vowels/Reading; step1 back -> exit; final CTA -> finish.,Tested,code-trace,PASS,ISS-08,Med,ISS-08 Done,Memory: DB-as-source refactor.
GUIDE-02,Guide,Guide step shell,components/guide/GuideStepShell.tsx,As a learner I see my progress through the 3-step guide.,Back chip + 'Kannada basics' + 'step/3' + gold progress bar; scroll body; red CTA label per step; CTA can disable during onboarding sync.,Tested,code-trace,PASS,ISS-21,Low,ISS-21 Done,
GUIDE-03,Guide,Step 1 - principles,components/guide/StepThings.tsx,As a learner I learn three foundational rules with audio demos.,"Heading + DB intro; 3 habit cards; habit 1 text-only, habits 2-3 have phoneme demo buttons.",Tested,code-trace,PASS,,,,
GUIDE-04,Guide,Step 2 - vowels,components/guide/StepVowels.tsx,As a learner I hear vowel pairs and loner vowels.,Vowel pair rows (short/long + AudioOrb + chevron); loner row; one orb plays at a time; audio fail -> toast w/ retry.,Tested,code-trace,PASS w/ defect,ISS-20,Low,Open,
GUIDE-05,Guide,Step 3 - reading,components/guide/StepReading.tsx,As a learner I learn the capital/curled pattern and try a word.,Fixed Ta/ta + Da/da comparisons w/ insight text; gold TRY IT card w/ DB word + AudioOrb; audio fail -> toast.,Tested,code-trace,PASS w/ defect,ISS-20,Low,Open,
GUIDE-06,Guide,Guide phoneme button,components/guide/GuidePhonemeButton.tsx,As a learner I tap a glyph to hear a phoneme.,Chunky card; glyph + romanization + optional note + AudioOrb; red or gold accent variant; mounted-guard playback.,Tested,code-trace,PASS w/ defect,ISS-20,Low,Open,
GUIDE-07,Guide,Guide loading,components/guide/GuideLoading.tsx,As a learner I see the guide loading and can go back.,Watermark + back chip + BrandSpinner; no timeout/error path.,Tested,code-trace,PASS,,,,
HER-01,Heritage,Heritage detail,app/heritage/[id].tsx,As a learner I read about Karnataka heritage linked from lessons.,Unknown id -> 'Heritage entry not found' + back; else back chip + image placeholder + eyebrow/title/subtitle + scrollable body. Only 'hampi' exists.,Tested,code-trace,PASS,,,,
EMER-01,Emergency,Emergency phrases,"app/emergency.tsx, hooks/useEmergencyPhrases.ts",As a user in a tough spot I find and hear urgent Kannada phrases offline.,Loading spinner; error card + retry; red gradient header 'works offline'; category chips; context bar; urgency-sorted cards (regex-ranked) w/ badge+English+translit+Kannada+AudioOrb; TTS playback.,Tested,code-trace,PASS w/ defects,ISS-01;ISS-17,Med,Partial: ISS-01 Done; ISS-17 Deferred (DB),
MODAL-01,Modal,Modal host + primitives,"components/modals/ModalHost.tsx, Dialog.tsx, BottomSheet.tsx, Takeover.tsx, Backdrop.tsx, Halo.tsx",As a user I get focused overlays (dialog/sheet/takeover) dismissible by backdrop/swipe/back.,"Single-slot host (new modal dismisses prior); Dialog fade+spring (reduce-motion aware), destructive blocks backdrop; BottomSheet @gorhom swipe+backdrop dismiss; Takeover full-screen slide; Backdrop blur+fade.",Tested,code-trace,PASS w/ defect,ISS-12,Low,Open,
MODAL-02,Modal,Toast system,"components/modals/Toast.tsx, ToastHost.tsx, instances/toastCatalog.ts","As a user I get success (top, auto 3s) and error (bottom, sticky) toasts.",Single-entry; success top pill auto-dismiss; error bottom card sticky w/ keyboard lift + retry onPress; bridge lets non-React services fire toasts; stable ids dedupe.,Tested,code-trace,PASS,,,,
MODAL-03,Modal,Exit lesson dialog,components/modals/instances/ExitLessonDialog.tsx,As a user I confirm before exiting a lesson.,"Red X halo, reassurance copy, 'Exit'(red)+'Cancel'(tan); blocks backdrop/hardware back.",Tested,code-trace,PASS,,,,
MODAL-04,Modal,Goal summary sheet,components/modals/instances/GoalSummarySheet.tsx,"As a user I view my learning goal, daily target, and motivations.","Sheet shows goal label, daily target, motivations list, footer note.",Tested,code-trace,PASS,ISS-11,Low,Wontfix: already correct (ISS-11),'written' mode may leave goalLabel null.
MODAL-05,Modal,Learning-time info dialog,components/modals/instances/LearningTimeInfoDialog.tsx,As a user I learn what each time commitment unlocks.,"Clock halo, 'DAILY GOAL' eyebrow, title+body per option; info-only.",Tested,code-trace,PASS,,,,
MODAL-06,Modal,Lesson info dialog,components/modals/instances/LessonInfoDialog.tsx,As a user I see a lesson's details.,"Info halo, eyebrow 'Lesson N', title, desc, stats (phrases+minutes), lock copy if locked.",Tested,code-trace,PASS,,,,
MODAL-07,Modal,Lesson locked dialog,components/modals/instances/LessonLockedDialog.tsx,As a user I learn what to complete to unlock a lesson.,"Lock tile, explanation, 'Got it' + 'Back to lessons' (navigates away); lighter backdrop.",Tested,code-trace,PASS,,,,
MODAL-08,Modal,Permission pre-prompt,components/modals/instances/PermissionDialog.tsx,As a user I see why a permission is needed before the OS asks.,"Bell/mic halo, title+body, preview card, 'Allow X' + 'Not now'.",Tested,code-trace,PASS,,,,
MODAL-09,Modal,Phrase detail sheet,components/modals/instances/PhraseDetailSheet.tsx,As a user I see a phrase breakdown with audio.,"Translit+English+Kannada+play orb; 'Break it down' gloss atoms; optional note; 'Got it'; TTS play, fail -> toast w/ retry.",Tested,code-trace,PASS,,,,
MODAL-10,Modal,Reminders sheet,"components/modals/instances/RemindersSheet.tsx, services/progress/streak.ts",As a user I enable a daily reminder and pick a time.,"Toggle + prominent time card -> native picker; quick-pick chips; on enable checks permission (deny -> PermissionDialog), persists via API, schedules OS reminder, toast.",Tested,code-trace,FAIL,ISS-03,Med,Open,Toggle desync on permission-deny noted.
MODAL-11,Modal,Sign-out dialog,components/modals/instances/SignOutDialog.tsx,As a user I confirm sign-out and am reassured data is saved.,"Title + reassurance, 'Sign out'(red) + 'Stay signed in'(tan).",Tested,code-trace,PASS,,,,
MODAL-12,Modal,Streak detail sheet,components/modals/instances/StreakDetailSheet.tsx,"As a user I see my week, milestone progress, and quick actions.",Flame medallion + count; week day-dots (done/today/future); milestone nudge; 'Set a reminder' + 'Keep learning' (-> next uncompleted lesson).,Tested,code-trace,PASS w/ defect,ISS-04,Med,Open,next-lesson may be stale after completion.
MODAL-13,Modal,Streak milestone takeover,components/modals/instances/StreakMilestoneTakeover.tsx,As a user I get a full-screen celebration at streak milestones.,Confetti + medallion + milestone copy (3/7/12/30/60/100/365); 'Keep going' + optional 'Share'.,Tested,code-trace,PASS,ISS-10,Low,ISS-10 Done,nWordsLearned interpolation currently dead.
MODAL-14,Modal,TTS unavailable dialog,components/modals/instances/TTSUnavailableDialog.tsx,As a user with no Kannada voice I get a one-time setup guide.,"Headphones halo, settings-path box, 'Open settings' + 'Maybe later'; both set hasSeenTtsWarning.",Tested,code-trace,PASS,,,,
